2026-02-24 04:18:45 | INFO     | agent.appium_manager                | 📱 Using device with UDID: RZCW31HH47R
2026-02-24 04:18:45 | INFO     | agent.appium_manager                | 🖥️  Appium will control current screen (no app launch)
2026-02-24 04:18:45 | INFO     | agent.appium_manager                | 🔌 Connecting to Appium server at http://localhost:4723...
2026-02-24 04:18:52 | INFO     | agent.appium_manager                | ✅ Appium session started: d002ddfa-e2da-47cb-b8dd-91df4a5fabfa
2026-02-24 04:18:52 | INFO     | agent.vision_element_detector       | Loading YOLO from /Users/ayushsingh/Documents/programming/ocr-exp/OmniParser/weights/icon_detect/model.pt on mps...
2026-02-24 04:18:53 | INFO     | agent.vision_element_detector       | OmniParserDetector ready
2026-02-24 04:18:56 | DEBUG    | agent.vision_element_detector       |   YOLO inference: 0.324s — 5 boxes
2026-02-24 04:18:56 | DEBUG    | agent.vision_element_detector       |   OCR element_1: 0.103s — 'Played before?'
2026-02-24 04:18:56 | DEBUG    | agent.vision_element_detector       |   OCR element_2: 0.068s — 'New player'
2026-02-24 04:18:56 | DEBUG    | agent.vision_element_detector       |   OCR element_3: 0.037s — 'report'
2026-02-24 04:18:59 | DEBUG    | agent.vision_element_detector       |   OCR element_4: 3.150s — '75 BINGO Bitz New player Played before?'
2026-02-24 04:19:00 | DEBUG    | agent.vision_element_detector       |   OCR element_5: 0.144s — 'eport'
2026-02-24 04:19:00 | DEBUG    | agent.vision_element_detector       |   OCR total: 3.502s for 5 elements
2026-02-24 04:19:00 | INFO     | agent.vision_element_detector       | Detection done: 5 elements in 4.01s
2026-02-24 04:19:07 | INFO     | agent.appium_manager                | 👆 CLICK (Appium): (1205, 722) duration=0.1s
2026-02-24 04:19:10 | DEBUG    | agent.vision_element_detector       |   YOLO inference: 0.240s — 8 boxes
2026-02-24 04:19:10 | DEBUG    | agent.vision_element_detector       |   OCR element_1: 0.033s — 'eor'
2026-02-24 04:19:10 | DEBUG    | agent.vision_element_detector       |   OCR element_2: 0.018s — ''
2026-02-24 04:19:10 | DEBUG    | agent.vision_element_detector       |   OCR element_3: 0.011s — ''
2026-02-24 04:19:10 | DEBUG    | agent.vision_element_detector       |   OCR element_4: 0.072s — ''
2026-02-24 04:19:13 | DEBUG    | agent.vision_element_detector       |   OCR element_5: 2.795s — 'BINGO Bitz'
2026-02-24 04:19:14 | DEBUG    | agent.vision_element_detector       |   OCR element_6: 1.236s — 'BINGO Blitz'
2026-02-24 04:19:14 | DEBUG    | agent.vision_element_detector       |   OCR element_7: 0.125s — 'eport'
2026-02-24 04:19:16 | DEBUG    | agent.vision_element_detector       |   OCR element_8: 1.643s — 'UUU U( Bldtz '~"eport'
2026-02-24 04:19:16 | DEBUG    | agent.vision_element_detector       |   OCR total: 5.934s for 8 elements
